subject,control_change,training_change,net_effect
1,0.007964161274265802,-0.009258337481333978,-0.01722249875559978
2,-0.018865107018417038,0.015181682429069143,0.03404678944748618
3,-0.007051601128256202,-0.0009291521486642917,0.00612244897959191
4,-0.012974946075991367,-0.0029201924672307422,0.010054753608760625
5,0.002422432387589213,0.006321553011448544,0.0038991206238593312
6,0.005309440849510572,0.006304961008793741,0.0009955201592831697
7,-0.00029865604778500643,-0.010486145677783276,-0.01018748962999827
8,-0.006918865107018446,-0.0010784801725567394,0.0058403849344617065
9,0.002472208395553399,0.010502737680437968,0.008030529284884569
10,0.0039488966318235175,0.0005641280902605184,-0.003384768541562999
11,0.0029036004645760505,-0.001111664177866345,-0.0040152646424423954
12,-0.02434046789447486,0.005425584868093636,0.029766052762568496
13,-0.0008130081300812275,-0.011946241911398703,-0.011133233781317475
14,0.0009457441513190945,0.024589347934295458,0.023643603782976363
16,0.010076876278966918,0.0006304961008793963,-0.009446380178087521
17,-0.01672473867595825,0.01431889829102373,0.03104363696698198
18,-0.00629943034124214,0.007914385266301616,0.014213815607543756
19,-0.002273104363696765,-0.002870416459266667,-0.0005973120955699018
20,0.012228305956528907,0.007001825120292016,-0.005226480836236891
21,-0.008909905425584896,0.016044466567114668,0.024954371992699564
22,-0.012394225983076157,0.004911232785797193,0.01730545876887335
